,id,OVD_t1,OVD_t2,OVD_t3,OVD_sum,pay_normal,prod_code,prod_limit,update_date,new_balance,highest_balance,report_date,label,fea_1,fea_2,fea_3,fea_4,fea_5,fea_6,fea_7,fea_8,fea_9,fea_10,fea_11
0,58987402,0,0,0,0,1,10,16500.0,04/12/2016,0.0,,,0,5,1241.0,3,62000.0,2,15,9,95,4,60023,1.0
1,58987402,0,0,0,0,1,0,,04/10/2016,42000.0,35500.0,,0,5,1241.0,3,62000.0,2,15,9,95,4,60023,1.0
2,58987402,0,0,0,0,2,10,113300.0,13/02/2016,7938.0,7115.0,24/03/2016,0,5,1241.0,3,62000.0,2,15,9,95,4,60023,1.0
3,58987402,0,0,0,0,9,10,,27/07/2015,30039.6,48061.0,04/08/2016,0,5,1241.0,3,62000.0,2,15,9,95,4,60023,1.0
4,58987402,0,0,0,0,1,0,,07/12/2011,0.0,150500.0,,0,5,1241.0,3,62000.0,2,15,9,95,4,60023,1.0
5,58995151,0,0,0,0,1,5,,04/12/2016,588720.0,491100.0,,1,7,,2,126000.0,2,11,9,115,4,450028,224.2676972
6,58995151,0,0,0,0,2,6,,03/08/2016,16848.0,14540.0,,1,7,,2,126000.0,2,11,9,115,4,450028,224.2676972
7,58995151,0,0,0,0,2,6,,13/03/2016,17131.2,16816.0,,1,7,,2,126000.0,2,11,9,115,4,450028,224.2676972
8,58995151,0,0,0,0,1,6,,04/03/2016,41706.0,52639.0,04/03/2016,1,7,,2,126000.0,2,11,9,115,4,450028,224.2676972
9,58995151,0,0,0,0,3,7,,01/07/2013,0.0,31500.0,05/05/2013,1,7,,2,126000.0,2,11,9,115,4,450028,224.2676972
10,58995151,0,0,0,0,29,1,,27/12/2011,187878.0,380500.0,21/02/2014,1,7,,2,126000.0,2,11,9,115,4,450028,224.2676972
11,58995151,0,0,0,0,2,0,,27/12/2011,0.0,380500.0,,1,7,,2,126000.0,2,11,9,115,4,450028,224.2676972
12,58995151,0,0,35,6164,1,5,,01/11/2010,0.0,100500.0,17/10/2012,1,7,,2,126000.0,2,11,9,115,4,450028,224.2676972
13,58995151,0,0,0,0,1,10,,25/05/2009,0.0,38091.0,23/03/2011,1,7,,2,126000.0,2,11,9,115,4,450028,224.2676972
14,58995151,0,0,6,2160,21,10,,29/04/2009,0.0,74039.0,06/01/2012,1,7,,2,126000.0,2,11,9,115,4,450028,224.2676972
15,58995151,6,1,0,205,27,5,,08/06/2008,0.0,100500.0,23/07/2012,1,7,,2,126000.0,2,11,9,115,4,450028,224.2676972
16,58995151,0,0,0,0,19,5,,26/06/2007,0.0,25500.0,22/12/2008,1,7,,2,126000.0,2,11,9,115,4,450028,224.2676972
17,58995151,1,1,0,43,6,10,,06/11/2006,0.0,36953.0,,1,7,,2,126000.0,2,11,9,115,4,450028,224.2676972
18,58995151,0,0,0,0,6,13,,07/04/2006,0.0,43700.0,24/06/2008,1,7,,2,126000.0,2,11,9,115,4,450028,224.2676972
19,58997200,0,0,0,0,2,5,,04/12/2016,840000.0,700500.0,22/04/2016,0,7,1376.0,1,150000.0,2,11,-1,110,4,60000,219.2487172
20,58997200,0,0,0,0,1,5,,04/11/2016,365629.2,310500.0,05/01/2016,0,7,1376.0,1,150000.0,2,11,-1,110,4,60000,219.2487172
21,58997200,0,0,0,0,2,2,,17/04/2016,4437040.8,4225500.0,,0,7,1376.0,1,150000.0,2,11,-1,110,4,60000,219.2487172
22,58997200,0,0,0,0,2,5,,13/04/2016,863940.0,718201.0,19/04/2016,0,7,1376.0,1,150000.0,2,11,-1,110,4,60000,219.2487172
23,58997200,0,0,0,0,2,0,,13/04/2016,636720.0,531100.0,,0,7,1376.0,1,150000.0,2,11,-1,110,4,60000,219.2487172
24,58997200,0,0,0,0,1,6,,05/06/2015,0.0,23500.0,13/03/2016,0,7,1376.0,1,150000.0,2,11,-1,110,4,60000,219.2487172
25,58997200,0,0,0,0,1,5,,16/04/2014,0.0,70500.0,13/03/2016,0,7,1376.0,1,150000.0,2,11,-1,110,4,60000,219.2487172
26,58997200,0,0,0,0,3,1,,30/11/2012,203638.8,441500.0,27/03/2016,0,7,1376.0,1,150000.0,2,11,-1,110,4,60000,219.2487172
27,58997200,0,0,0,0,2,10,,15/10/2011,28062.0,35355.0,20/04/2016,0,7,1376.0,1,150000.0,2,11,-1,110,4,60000,219.2487172
28,58997200,0,0,0,0,1,6,,10/07/2011,0.0,35490.0,,0,7,1376.0,1,150000.0,2,11,-1,110,4,60000,219.2487172
29,54988608,0,0,0,0,3,10,37400.0,03/12/2016,8425.2,7520.0,25/04/2016,0,7,1214.0,3,60000.0,2,11,9,108,4,151300,158.11388300000002
30,54988608,0,0,0,0,3,10,,15/03/2016,3069.6,15871.0,27/04/2016,0,7,1214.0,3,60000.0,2,11,9,108,4,151300,158.11388300000002
31,54988608,0,0,0,0,22,10,50600.0,16/08/2014,15786.0,24465.0,23/04/2016,0,7,1214.0,3,60000.0,2,11,9,108,4,151300,158.11388300000002
32,54988608,0,0,0,0,21,5,,28/07/2014,151113.6,170500.0,22/04/2016,0,7,1214.0,3,60000.0,2,11,9,108,4,151300,158.11388300000002
33,54987763,0,0,0,0,2,10,,03/12/2016,15147.6,,26/04/2016,0,7,1232.0,1,96000.0,2,11,9,88,5,151300,233.520877
34,54987763,0,0,0,0,2,10,118800.0,18/03/2016,12508.8,12699.0,25/04/2016,0,7,1232.0,1,96000.0,2,11,9,88,5,151300,233.520877
